year,hires,terminations,net_change,net_change_percent
2000,56,3,53,94.64
2001,284,43,241,84.86
2002,265,42,223,84.15
2003,275,63,212,77.09
2004,277,44,233,84.12
2005,259,62,197,76.06
2006,256,52,204,79.69
2007,249,22,227,91.16
2008,277,30,247,89.17
2009,246,34,212,86.18
2010,249,30,219,87.95
2011,256,38,218,85.16
2012,241,30,211,87.55
2013,237,14,223,94.09
2014,236,23,213,90.25
2015,229,15,214,93.45
2016,285,17,268,94.04
2017,221,13,208,94.12
2018,248,11,237,95.56
2019,230,5,225,97.83
2020,236,4,232,98.31
